company_id,financial_year,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,financial_momentum_score,debt_risk_score,profitability_risk_score,interest_risk_score,efficiency_risk_score,momentum_risk_score,total_risk_score,normalized_risk_score,risk_category,risk_rank
INDIGO,2024,892.568306010929,0.0185792349726775,22.60232158211522,56.38625204582652,1,0,0,0,0,1,1,6.67,Low Risk,11
BEL,2024,4744.047619047619,0.5119047619047619,420.9166666666667,125.88819875776396,3,1,0,0,0,0,1,6.67,Low Risk,11
NESTLEIND,2024,117.75449101796409,0.1032934131736526,40.08965517241379,2.318160220469448,1,0,0,0,0,1,1,6.67,Low Risk,11
TRENT,2024,36.30776794493609,0.4309242871189774,5.355978260869565,1.727869310248534,4,0,0,0,1,0,1,6.67,Low Risk,11
ABB,2024,32.46823465801568,0.0224384968910516,121.08333333333331,1.1263238975544,2,0,0,0,1,1,2,13.33,Low Risk,10
BPCL,2024,35.511337343822305,0.7218747934157467,10.62472885032538,2.213651947949293,2,1,0,0,0,1,2,13.33,Low Risk,10
PIDILITIND,2024,20.780302129178065,0.0454383252051861,53.09803921568628,1.0254223252732693,2,0,0,0,1,1,2,13.33,Low Risk,10
TCS,2024,50.944313673485176,0.0886406082507266,82.6426735218509,1.6559406621205457,2,0,0,0,1,1,2,13.33,Low Risk,10
MARUTI,2024,15.750385351954783,0.0013896025036199,96.01030927835052,1.230295566502463,2,0,0,0,1,1,2,13.33,Low Risk,10
HEROMOTOCO,2024,21.14243742584327,0.0342392225549466,47.24818577648767,1.4449202768324858,0,0,0,0,1,1,2,13.33,Low Risk,10
DMART,2024,13.56294790886726,0.0316611402289014,70.79310344827586,2.398875873795579,1,0,1,0,0,1,2,13.33,Low Risk,10
LT,2024,77.66510140873214,0.1034568888000799,3.139718250630782,8.027628521638107,2,0,0,1,0,1,2,13.33,Low Risk,10
HAL,2024,3816.582914572864,0.6180904522613065,226.7209302325581,67.51333333333334,0,1,0,0,0,1,2,13.33,Low Risk,10
BAJAJ-AUTO,2024,26.61418410330778,0.0660175402251225,146.08333333333334,1.1404534363562424,1,0,0,0,1,1,2,13.33,Low Risk,10
ADANIPOWER,2024,48.27674122146251,0.8023177656738903,5.380165289256198,0.5472399439185297,3,1,0,0,2,0,3,20.0,Low Risk,9
CIPLA,2024,15.554557028383137,0.0209316258518684,35.29528985507246,0.7922417237881536,0,0,0,0,2,1,3,20.0,Low Risk,9
IOC,2024,23.53162465856491,0.7230954600718581,9.59852810557036,1.6084096601703397,2,1,0,0,1,1,3,20.0,Low Risk,9
HCLTECH,2024,23.01393141233172,0.0843502336551279,43.75768535262206,1.1101650405025958,-1,0,0,0,1,2,3,20.0,Low Risk,9
BRITANNIA,2024,54.14869322506978,0.5239786856127886,19.3109756097561,1.8484347442680773,2,1,0,0,1,1,3,20.0,Low Risk,9
EICHERMOT,2024,22.172346910501524,0.0232197284566361,84.88235294117646,0.7153796236210254,0,0,0,0,2,1,3,20.0,Low Risk,9
HAVELLS,2024,17.067275412917954,0.040687525177924,22.392857142857142,1.4952143489101584,-1,0,0,0,1,2,3,20.0,Low Risk,9
GAIL,2024,12.86154006000234,0.2830499889606088,19.908205841446453,1.068088347296268,0,0,1,0,1,1,3,20.0,Low Risk,9
SIEMENS,2024,17.698769290877124,0.0181676108614963,51.73333333333333,0.8790861298865568,0,0,0,0,2,1,3,20.0,Low Risk,9
ONGC,2024,16.940398136885513,0.4544486308481917,10.087796743182263,0.8332173339682772,0,0,0,0,2,1,3,20.0,Low Risk,9
DRREDDY,2024,19.74233736816026,0.0708572237559283,46.39181286549707,0.7223053120165034,1,0,0,0,2,1,3,20.0,Low Risk,9
BOSCHLTD,2024,20.639920424403183,0.0032327586206896,41.07843137254902,0.9638144626908672,0,0,0,0,2,1,3,20.0,Low Risk,9
TATAMOTORS,2024,37.45613415294755,1.2631244259167669,5.962147005808132,1.1851234435931923,4,2,0,0,1,0,3,20.0,Low Risk,9
ASIANPAINT,2024,29.677488252883386,0.1321016659547202,37.0,1.187084044011906,-1,0,0,0,1,2,3,20.0,Low Risk,9
